date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:41:51	2407/2407	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Dec%202010%2002:41:51%20GMT	http://madrobby.github.com/robots.txt		(from )
05:41:52	18249/18249	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Nov%202010%2012:52:03%20GMT	http://madrobby.github.com/scriptaculous/	madrobby.github.com/scriptaculous/index.html	(from )
05:41:53	6135/6135	---MC-	200	added ('OK')	text/css	date:Fri,%2005%20Nov%202010%2012:52:03%20GMT	http://madrobby.github.com/scriptaculous/css/docs.css	madrobby.github.com/scriptaculous/css/docs.css	(from )
05:41:53	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:53%20GMT	http://github.com/madrobby/scriptaculous/commits/master.atom	github.com/madrobby/scriptaculous/commits/master.1.delayed	(from )
05:41:53	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:53%20GMT	http://madrobby.github.com/scriptaculous/contribute	madrobby.github.com/scriptaculous/contribute.2.delayed	(from )
05:41:54	1942/1942	---MC-	200	added ('OK')	text/css	date:Fri,%2009%20May%202008%2021:12:53%20GMT	http://script.aculo.us/github/styles/sunburst.css	script.aculo.us/github/styles/sunburst.css	(from )
05:41:54	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:54%20GMT	http://madrobby.github.com/scriptaculous/demos	madrobby.github.com/scriptaculous/demos.4.delayed	(from )
05:41:54	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:54%20GMT	http://madrobby.github.com/scriptaculous/core-effects	madrobby.github.com/scriptaculous/core-effects.5.delayed	(from )
05:41:54	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:54%20GMT	http://madrobby.github.com/scriptaculous/effect-highlight	madrobby.github.com/scriptaculous/effect-highlight.6.delayed	(from )
05:41:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:54%20GMT	http://madrobby.github.com/scriptaculous/effect-morph	madrobby.github.com/scriptaculous/effect-morph.7.delayed	(from )
05:41:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:55%20GMT	http://madrobby.github.com/scriptaculous/effect-move	madrobby.github.com/scriptaculous/effect-move.8.delayed	(from )
05:41:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:55%20GMT	http://madrobby.github.com/scriptaculous/effect-opacity	madrobby.github.com/scriptaculous/effect-opacity.9.delayed	(from )
05:41:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:55%20GMT	http://madrobby.github.com/scriptaculous/effect-scale	madrobby.github.com/scriptaculous/effect-scale.a.delayed	(from )
05:41:55	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:55%20GMT	http://madrobby.github.com/scriptaculous/effect-parallel	madrobby.github.com/scriptaculous/effect-parallel.b.delayed	(from )
05:41:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:56%20GMT	http://madrobby.github.com/scriptaculous/combination-effects	madrobby.github.com/scriptaculous/combination-effects.c.delayed	(from )
05:41:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Dec%202010%2002:41:56%20GMT	http://madrobby.github.com/scriptaculous/effect-appear	madrobby.github.com/scriptaculous/effect-appear.d.delayed	(from )
